StockCode,mae_naive,mae_mean,mae_hw,beats_naive,improvement,product,class
21155,25.69,21.5,21.5,True,16.3,RED RETROSPOT PEG BAG,AY
23301,306.85,381.36,306.31,True,0.2,GARDENERS KNEELING PAD KEEP CALM,AZ
22191,8.46,9.38,16.25,False,-92.0,IVORY DINER WALL CLOCK,AZ
22662,99.08,41.36,75.83,True,23.5,LUNCH BAG DOLLY GIRL DESIGN,AY
35004C,0.0,32.97,0.0,False,,SET OF 3 COLOURED  FLYING DUCKS,AZ
22296,47.69,65.8,39.76,True,16.6,HEART IVORY TRELLIS LARGE,AY
22193,22.15,32.26,22.71,False,-2.5,RED DINER WALL CLOCK,AY
22634,14.08,7.29,8.02,True,43.0,CHILDS BREAKFAST SET SPACEBOY,AY
21877,115.92,113.66,113.66,True,2.0,HOME SWEET HOME MUG,AY
22692,35.08,32.47,32.18,True,8.3,DOORMAT WELCOME TO OUR HOME,AZ
22759,134.15,153.59,146.16,False,-8.9,SET OF 3 NOTEBOOKS IN PARCEL,AY
22690,25.23,25.05,25.05,True,0.7,DOORMAT HOME SWEET HOME BLUE,AZ
22635,9.92,6.99,6.75,True,31.9,CHILDS BREAKFAST SET DOLLY GIRL,AY
22367,42.46,45.1,50.4,False,-18.7,CHILDRENS APRON SPACEBOY DESIGN,AX
84375,41.0,39.15,62.16,False,-51.6,SET OF 20 KIDS COOKIE CUTTERS,AY
22170,26.15,25.39,23.68,True,9.4,PICTURE FRAME WOOD TRIPLE PORTRAIT,AY
22619,70.69,51.01,46.94,True,33.6,SET OF 6 SOLDIER SKITTLES,AY
22333,56.92,55.09,55.09,True,3.2,RETROSPOT PARTY BAG + STICKER SET,AY
85232B,0.0,33.23,1.88,False,,SET/3 RUSSIAN DOLL STACKING TINS,AZ
21891,174.77,163.11,171.73,True,1.7,TRADITIONAL WOODEN SKIPPING ROPE,AY
22173,33.54,21.38,23.76,True,29.2,METAL 4 HOOK HANGER FRENCH CHATEAU,AY
22749,68.31,56.21,60.44,True,11.5,FELTCRAFT PRINCESS CHARLOTTE DOLL,AY
84378,126.0,111.52,131.81,False,-4.6,SET OF 3 HEART COOKIE CUTTERS,AY
21844,32.23,46.69,34.01,False,-5.5,RED RETROSPOT MUG,AY
22940,35.0,59.23,36.71,False,-4.9,FELTCRAFT CHRISTMAS FAIRY,AZ
21094,187.46,103.83,103.83,True,44.6,SET/6 RED SPOTTY PAPER PLATES,AY
22365,34.38,30.95,29.69,True,13.6,DOORMAT RESPECTABLE HOUSE,AZ
22909,279.15,385.49,297.7,False,-6.6,SET OF 20 VINTAGE CHRISTMAS NAPKINS,AZ
21975,249.54,196.28,180.5,True,27.7,PACK OF 60 DINOSAUR CAKE CASES,AY
21165,323.15,57.9,57.9,True,82.1,BEWARE OF THE CAT METAL SIGN,AY
35970,150.77,294.86,220.69,False,-46.4,ZINC FOLKART SLEIGH BELLS,AZ
82582,82.31,72.94,72.94,True,11.4,AREA PATROLLED METAL SIGN,AY
22946,15.15,14.85,14.61,True,3.6,WOODEN ADVENT CALENDAR CREAM,AZ
21122,44.23,55.59,55.59,False,-25.7,SET/10 PINK POLKADOT PARTY CANDLES,AY
22606,1.69,9.72,3.71,False,-119.5,WOODEN SKITTLES GARDEN SET,AZ
22730,46.0,72.1,44.67,True,2.9,ALARM CLOCK BAKELIKE IVORY,AY
21770,17.69,18.99,18.99,False,-7.3,OPEN CLOSED METAL SIGN,AZ
17003,312.15,475.46,348.55,False,-11.7,BROCADE RING PURSE,AZ
21912,34.62,28.23,28.23,True,18.4,VINTAGE SNAKES & LADDERS,AY
