StockCode,model,smoothing_level_alpha,initial_level,sse,aic,n_train_weeks,train_start,train_end,converged,mae_naive,mae_mean,mae_hw,beats_naive,product,ABC,XYZ,class
84029G,SimpleExponentialSmoothing,0.8026,312.18,364129.0,773.4,93,2009-11-30,2011-09-05,True,62.46153846153846,64.10587262200164,66.22024876278748,False,KNITTED UNION FLAG HOT WATER BOTTLE,A,Z,AZ
22659,SimpleExponentialSmoothing,0.1255,3.18,2580445.0,955.5,93,2009-11-30,2011-09-05,True,114.92307692307692,107.5558312655087,121.57857845295328,False,LUNCH BOX I LOVE LONDON,A,Y,AY
47590B,SimpleExponentialSmoothing,0.2223,15.79,329863.6,764.2,93,2009-11-30,2011-09-05,True,13.692307692307692,27.72456575682383,24.97870647874793,False,PINK HAPPY BIRTHDAY BUNTING,A,Y,AY
22622,SimpleExponentialSmoothing,0.2181,0.02,150061.9,690.9,93,2009-11-30,2011-09-05,True,24.53846153846154,20.57320099255583,24.390714821362693,True,BOX OF VINTAGE ALPHABET BLOCKS,A,Z,AZ
22158,SimpleExponentialSmoothing,0.5883,2.19,1046705.4,871.6,93,2009-11-30,2011-09-05,True,104.15384615384616,112.90901571546736,119.45025749495947,False,3 HEARTS HANGING DECORATION RUSTIC,A,Z,AZ
82483,SimpleExponentialSmoothing,0.1814,63.05,119934.3,670.1,93,2009-11-30,2011-09-05,True,32.69230769230769,25.17866004962779,25.19295237168364,True,WOOD 2 DRAWER CABINET WHITE FINISH,A,X,AX
48188,SimpleExponentialSmoothing,0.0,48.85,849057.9,852.1,93,2009-11-30,2011-09-05,True,21.692307692307693,42.41108354011581,42.41109502225125,False,DOORMAT WELCOME PUPPIES,A,Z,AZ
20971,SimpleExponentialSmoothing,0.1601,300.84,3763840.8,990.6,93,2009-11-30,2011-09-05,True,440.6923076923077,435.967741935484,439.3269470321894,True,PINK BLUE FELT CRAFT TRINKET BOX,A,Z,AZ
84978,SimpleExponentialSmoothing,0.2295,128.1,981814.9,865.6,93,2009-11-30,2011-09-05,True,109.6153846153846,96.9454094292804,97.24133594784628,True,HANGING HEART JAR T-LIGHT HOLDER,A,X,AX
22866,SimpleExponentialSmoothing,0.9679,0.0,1661772.2,914.5,93,2009-11-30,2011-09-05,True,192.23076923076923,307.33416046319275,193.4008809831064,False,HAND WARMER SCOTTY DOG DESIGN,A,Z,AZ
22467,SimpleExponentialSmoothing,0.4488,0.0,851281.9,852.3,93,2009-11-30,2011-09-05,True,94.15384615384616,111.81141439205956,105.62389826837652,False,GUMBALL COAT RACK,A,Y,AY
22752,SimpleExponentialSmoothing,0.4991,0.0,125617.3,674.4,93,2009-11-30,2011-09-05,True,42.38461538461539,33.86352357320099,39.80823039904371,True,SET 7 BABUSHKA NESTING BOXES,A,Z,AZ
21977,SimpleExponentialSmoothing,0.0,556.43,15223013.0,1120.5,93,2009-11-30,2011-09-05,True,371.38461538461536,296.9131513647643,296.91334334693,True,PACK OF 60 PINK PAISLEY CAKE CASES,A,X,AX
22188,SimpleExponentialSmoothing,0.0,103.04,6209007.9,1037.1,93,2009-11-30,2011-09-05,True,59.30769230769231,97.86931348221673,97.86931058030008,False,BLACK HEART CARD HOLDER,A,Z,AZ
82583,SimpleExponentialSmoothing,0.0,103.89,791124.9,845.5,93,2009-11-30,2011-09-05,True,256.7692307692308,159.8271298593879,159.8271296405228,True,HOT BATHS METAL SIGN,A,Y,AY
23201,SimpleExponentialSmoothing,0.2899,0.0,1304333.2,892.0,93,2009-11-30,2011-09-05,True,208.7692307692308,331.34243176178654,192.2027227412341,True,JUMBO BAG ALPHABET,A,Z,AZ
22492,SimpleExponentialSmoothing,0.1415,20.38,10831621.3,1088.9,93,2009-11-30,2011-09-05,True,465.0769230769231,364.1935483870967,351.895221255375,True,MINI PAINT SET VINTAGE,A,Y,AY
